,company_name,company_description,employees,revenue,ESG,ESG_avg_industry
0,anacision GmbH,"anacision GmbH is located in Karlsruhe, Baden-Württemberg, Germany and is part of the Professional and Commercial Equipment and Supplies Merchant Wholesalers Industry. anacision GmbH has       20 employees at this location and generates $914,639 in sales (USD). (Sales figure is estimated). ",      20,"$914,639",1.0,2.23
1,LENGOO,"LENGOO is located in LONDON, United Kingdom and is part of the Computer Systems Design and Related Services Industry. LENGOO has       98 employees at this location and generates $5.42 million in sales (USD). (Employees figure is estimated, Sales figure is modelled). ",      98,$5.42 million,,
2,Online Solutions Group GmbH,"Online Solutions Group GmbH is located in München, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. Online Solutions Group GmbH has       20 employees at this location and generates $2.73 million in sales (USD). (Sales figure is estimated). There are        3 companies in the Online Solutions Group GmbH corporate family.",      20,$2.73 million,2.0,2.35
3,BÄR Automation GmbH,"BÄR Automation GmbH is located in Gemmingen, Baden-Württemberg, Germany and is part of the Other General Purpose Machinery Manufacturing Industry. BÄR Automation GmbH has      142 employees at this location and generates $20.47 million in sales (USD). (Sales figure is estimated). There are        2 companies in the BÄR Automation GmbH corporate family.",     142,$20.47 million,3.0,2.48
4,MindPeak GmbH,"MindPeak GmbH is located in Hamburg, Hamburg, Germany and is part of the Computer Systems Design and Related Services Industry. MindPeak GmbH has       26 employees at this location and generates $4.00 million in sales (USD). (Sales figure is modelled). ",      26,$4.00 million,3.0,2.35
5,All.In Data GmbH,"All.In Data GmbH is located in Mannheim, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry. All.In Data GmbH has        1 employees at this location and generates $68,606 in sales (USD). (Sales figure is modelled). There are        2 companies in the All.In Data GmbH corporate family.",       1,"$68,606",2.0,2.35
6,Nerian Vision GmbH,"Nerian Vision GmbH is located in Stuttgart, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry. Nerian Vision GmbH has        2 employees at this location and generates $300,946 in sales (USD). (Sales figure is estimated). ",       2,"$300,946",3.0,2.35
7,OmniBot GmbH,"OmniBot GmbH is located in Oldenburg, Niedersachsen, Germany and is part of the Computer Systems Design and Related Services Industry. OmniBot GmbH has        5 employees at this location and generates $265,540 in sales (USD). (Sales figure is estimated). There are        2 companies in the OmniBot GmbH corporate family.",       5,"$265,540",3.0,2.35
8,alfatraining Bildungszentrum GmbH,"alfatraining Bildungszentrum GmbH is located in Karlsruhe, Baden-Württemberg, Germany and is part of the Other Schools and Instruction Industry. alfatraining Bildungszentrum GmbH has      389 employees at this location and generates $57.06 million in sales (USD).  There are        2 companies in the alfatraining Bildungszentrum GmbH corporate family.",     389,$57.06 million,1.0,2.23
9,relayr GmbH,"relayr GmbH is located in München, Bayern, Germany and is part of the Scientific Research and Development Services Industry. relayr GmbH has      109 employees at this location and generates $12.28 million in sales (USD). (Sales figure is estimated). There are      733 companies in the relayr GmbH corporate family.",     109,$12.28 million,3.0,2.23
10,RELAYR GMBH,"RELAYR GMBH is located in ROMA, ROMA, Italy and is part of the Software Publishers Industry. RELAYR GMBH has        1 employees at this location and generates $106,175 in sales (USD). (Sales figure is modelled). There are      733 companies in the RELAYR GMBH corporate family.",       1,"$106,175",,
11,Audatic GmbH,"Audatic GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. Audatic GmbH has        5 total employees across all of its locations and generates $632,505 in sales (USD). (Employees and Sales figures are modelled). There are    2,012 companies in the Audatic GmbH corporate family.",       5,"$632,505",3.0,2.35
12,DPD Deutschland GmbH,"DPD Deutschland GmbH is located in Aschaffenburg, Bayern, Germany and is part of the Local Messengers and Local Delivery Industry. DPD Deutschland GmbH has    9,526 employees at this location and generates $2.15 billion in sales (USD).  There are   14,575 companies in the DPD Deutschland GmbH corporate family.","   9,526",$2.15 billion,2.0,2.72
13,DPD Deutschland GmbH,"DPD Deutschland GmbH is located in Malsch, Baden-Württemberg, Germany and is part of the Local Messengers and Local Delivery Industry.  There are   14,575 companies in the DPD Deutschland GmbH corporate family.",,,2.0,2.72
14,DPD Deutschland GmbH,"DPD Deutschland GmbH is located in Krostitz, Sachsen, Germany and is part of the Local Messengers and Local Delivery Industry.  There are   14,575 companies in the DPD Deutschland GmbH corporate family.",,,2.0,2.72
15,DPD Deutschland GmbH,"DPD Deutschland GmbH is located in Melle, Niedersachsen, Germany and is part of the Local Messengers and Local Delivery Industry.  There are   14,575 companies in the DPD Deutschland GmbH corporate family.",,,2.0,2.72
16,DPD Deutschland GmbH,"DPD Deutschland GmbH is located in Mörsdorf, Thüringen, Germany and is part of the Local Messengers and Local Delivery Industry.  There are   14,575 companies in the DPD Deutschland GmbH corporate family.",,,2.0,2.72
17,aiPhilos GmbH,"aiPhilos GmbH is located in Bremen, Bremen, Germany and is part of the Computer Systems Design and Related Services Industry. aiPhilos GmbH has        5 employees at this location and generates $477,972 in sales (USD). (Sales figure is estimated). There are        2 companies in the aiPhilos GmbH corporate family.",       5,"$477,972",1.0,2.35
18,Debatoo GmbH,"Debatoo GmbH is located in Berlin, Berlin, Germany and is part of the Other Professional, Scientific, and Technical Services Industry. Debatoo GmbH has        2 total employees across all of its locations and generates $155,268 in sales (USD). (Employees and Sales figures are modelled). There are        2 companies in the Debatoo GmbH corporate family.",,"$155,268",,
19,Debatoo GmbH,"Debatoo GmbH is located in Potsdam, Brandenburg, Germany and is part of the Other Professional, Scientific, and Technical Services Industry.  There are        2 companies in the Debatoo GmbH corporate family.",,,,
20,mapegy GmbH,"mapegy GmbH is located in Berlin, Berlin, Germany and is part of the Management, Scientific, and Technical Consulting Services Industry. mapegy GmbH has       10 employees at this location and generates $413,063 in sales (USD). (Sales figure is estimated). ",      10,"$413,063",3.0,2.23
21,dida Datenschmiede GmbH,"dida Datenschmiede GmbH is located in Berlin, Berlin, Germany and is part of the Computer Systems Design and Related Services Industry. dida Datenschmiede GmbH has       19 employees at this location and generates $823,272 in sales (USD). (Sales figure is modelled). There are        2 companies in the dida Datenschmiede GmbH corporate family.",      19,"$823,272",2.0,2.35
22,Nect GmbH,"Nect GmbH is located in Hamburg, Hamburg, Germany and is part of the Computer Systems Design and Related Services Industry. Nect GmbH has       70 employees at this location and generates $13.31 million in sales (USD). (Sales figure is estimated). ",      70,$13.31 million,2.0,2.35
23,Open Grid Europe GmbH,"Open Grid Europe GmbH is located in Essen, Nordrhein-Westfalen, Germany and is part of the Pipeline Transportation of Natural Gast Industry. Open Grid Europe GmbH has    1,478 employees at this location and generates $1.27 billion in sales (USD).  There are       72 companies in the Open Grid Europe GmbH corporate family.","   1,478",$1.27 billion,2.0,2.65
24,Open Grid Europe GmbH,"Open Grid Europe GmbH is located in Scheidt, Rheinland-Pfalz, Germany and is part of the Pipeline Transportation of Natural Gast Industry.  There are       72 companies in the Open Grid Europe GmbH corporate family.",,,2.0,2.65
25,Open Grid Europe GmbH,"Open Grid Europe GmbH is located in Essen, Nordrhein-Westfalen, Germany and is part of the Pipeline Transportation of Natural Gast Industry.  There are       72 companies in the Open Grid Europe GmbH corporate family.",,,2.0,2.65
26,Open Grid Europe GmbH,"Open Grid Europe GmbH is located in Essen, Nordrhein-Westfalen, Germany and is part of the Pipeline Transportation of Natural Gast Industry.  There are       72 companies in the Open Grid Europe GmbH corporate family.",,,2.0,2.65
27,auvisus GmbH,"auvisus GmbH is located in Karlsruhe, Baden-Württemberg, Germany and is part of the Computer Systems Design and Related Services Industry. auvisus GmbH has        3 total employees across all of its locations and generates $268,000 in sales (USD). (Employees and Sales figures are modelled). ",       3,"$268,000",3.0,2.35
28,Philipps-Universität Marburg,"Philipps-Universität Marburg is located in Marburg, Hessen, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Philipps-Universität Marburg has       50 total employees across all of its locations and generates $4.77 million in sales (USD). (Employees and Sales figures are modelled). There are       29 companies in the Philipps-Universität Marburg corporate family.",,$4.77 million,2.0,2.23
29,Finealyze GmbH,"Finealyze GmbH is located in Hannover, Niedersachsen, Germany and is part of the Computer Systems Design and Related Services Industry. Finealyze GmbH has        3 total employees across all of its locations and generates $312,000 in sales (USD). (Employees and Sales figures are modelled). ",       3,"$312,000",2.0,2.35
30,xbird GmbH,"xbird GmbH is located in Berlin, Berlin, Germany and is part of the Other Ambulatory Health Care Services Industry. xbird GmbH has        5 total employees across all of its locations and generates $507,477 in sales (USD). (Employees figure is modelled, Sales figure is estimated). There are        2 companies in the xbird GmbH corporate family.",,"$507,477",5.0,1.72
31,xbird GmbH,"xbird GmbH is located in München, Bayern, Germany and is part of the Other Ambulatory Health Care Services Industry.  There are        2 companies in the xbird GmbH corporate family.",,,,
32,ZAL Zentrum für Angewandte Luftfahrtforschung GmbH,"ZAL Zentrum für Angewandte Luftfahrtforschung GmbH is located in Hamburg, Hamburg, Germany and is part of the Scientific Research and Development Services Industry. ZAL Zentrum für Angewandte Luftfahrtforschung GmbH has       34 employees at this location and generates $125,378 in sales (USD).  ",      34,"$125,378",1.0,2.23
33,Evana AG,"Evana AG is located in Frankfurt am Main, Hessen, Germany and is part of the Computer Systems Design and Related Services Industry. Evana AG has       40 employees at this location and generates $3.99 million in sales (USD). (Sales figure is estimated). There are        2 companies in the Evana AG corporate family.",      40,$3.99 million,2.0,2.35
34,Evana AG,"Evana AG is located in Saarbrücken, Saarland, Germany and is part of the Computer Systems Design and Related Services Industry.  There are        2 companies in the Evana AG corporate family.",,,,
35,Otto-Friedrich-Universität Bamberg,"Otto-Friedrich-Universität Bamberg is located in Bamberg, Bayern, Germany and is part of the Colleges, Universities, and Professional Schools Industry. Otto-Friedrich-Universität Bamberg has       50 total employees across all of its locations and generates $4.77 million in sales (USD). (Employees and Sales figures are modelled). There are        5 companies in the Otto-Friedrich-Universität Bamberg corporate family.",,$4.77 million,3.0,2.23
36,Celonis SE,"Celonis SE is located in München, Bayern, Germany and is part of the Computer Systems Design and Related Services Industry. Celonis SE has    1,300 total employees across all of its locations and generates $110.90 million in sales (USD). (Sales figure is estimated). There are       13 companies in the Celonis SE corporate family.",,$110.90 million,3.0,2.35
